track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,72,0,0,0,0,84,7.0,0,56,61,76,10,0,14,11,2,-0.8098712578715156,-0.047783423728630744
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17,3,3,0,0,115,5.0,0,90,74,54,16,0,13,28,0,-1.4637694243214765,2.1295286641698468
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038,24,92,93,0,0,122,6.0,0,80,62,69,28,0,13,7,2,-0.9022353938098684,0.6438148436021747
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,61,23,70,1,0,92,2.0,1,85,92,54,16,0,29,7,1,-1.0628729326202442,0.23873248632846514
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,30,26,15,0,0,90,6.0,0,63,75,75,17,0,11,8,2,-1.0729595867111292,0.2473702920894521
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,151,102,175,5,29,94,4.0,0,84,90,70,9,0,14,8,2,-1.9948536474804048,0.739033776373719
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141,78,"6,591",1,0,93,11.0,1,81,53,78,18,0,6,24,0,-1.1422971231185095,1.069896909742099
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,4,113,20,0,1,130,2.0,0,51,50,76,30,0,10,7,2,0.0820712774276816,-0.531799581872308
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364,76,0,102,0,2,180,7.0,0,35,23,61,23,0,19,6,3,1.5043691729967041,-1.258932877472884
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,142,40,"5,451",1,953,95,3.0,0,92,31,89,3,0,8,25,2,-2.0563309813986965,0.8224962752960333
Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342,119,6,85,1,1,184,6.0,1,69,91,63,11,0,9,31,0,-1.0706269320540258,0.7408130296447514
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,34,3,30,0,0,147,8.0,0,47,50,80,10,0,32,38,0,-0.7691768495244348,-0.14080096052081956
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,34,1,31,0,0,123,7.0,1,52,44,60,40,0,26,3,3,1.22133306828724,-0.856549915409908
Lost,Frank Ocean,1,2012,1,1,29499,11,822239726,124,27,587,0,4,123,10.0,0,91,49,61,3,0,17,22,2,-1.4255415912890481,1.4046595539095201
In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,235,106,"5,221",1,35,90,6.0,0,90,79,71,26,0,7,37,0,-2.0781864256766807,2.640825292176263
she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054,105,12,51,0,12,160,2.0,0,61,65,64,1,0,12,4,2,-0.577677889702415,-0.6435910513877232
Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,240769997,13,0,113,1,3,115,1.0,1,60,37,71,8,0,48,4,1,0.09508691628552753,-2.2583772425784447
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,426204830,33,123,7,0,4,141,3.0,1,37,17,67,2,0,34,9,1,1.2218409557083896,-2.46463815550866
Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627,22,13,65,0,6,160,9.0,1,31,30,88,7,0,8,8,1,0.6565581704199237,-2.141675035934879
Formula,Labrinth,1,2019,10,4,3444,7,554875730,24,85,102,0,1,145,11.0,1,57,23,66,4,6,15,4,1,0.7649490233892035,-1.2701727129111915
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,7,21,2,0,0,95,5.0,0,84,49,72,8,0,15,8,2,-1.3013702821619195,0.38852573756804043
Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548,11,0,10,0,0,160,2.0,1,60,47,62,3,0,38,4,1,0.19941759375986978,-1.969123489879878
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167,19,5,12,0,0,174,5.0,0,67,74,75,44,0,7,30,0,-0.8338156055468137,1.2807215500176583
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,128,17,"1,663",0,0,92,7.0,1,77,76,84,3,0,38,4,1,-1.732899758410824,-1.2224262995044568
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,78,15,"1,674",0,3,134,8.0,1,93,61,74,9,0,17,8,1,-1.4454913875668052,0.02379109222286154
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192,57,13,50,1,7,172,11.0,0,31,4,86,1,0,28,17,2,0.5681000841451985,-2.0203532762478713
Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128,44,63,91,0,24,80,9.0,1,76,92,62,6,0,8,13,1,-1.2967901899509835,0.8930290473082714
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,284,114,"1,481",0,5,150,1.0,0,91,42,60,0,0,9,12,2,-1.0767925449604665,0.552886920430032
Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,83,63,"4,180",0,0,80,6.0,0,78,53,74,4,0,45,21,2,-1.6148049201214307,-0.010478716790601358
